Final_Class,Codes_Selected,Final_Justification,Confidence,original_index,narr_accf
AE200 only,AE200,The pilot's action of attempting to land on a constrained turf runway and likely exceeding the airplane’s critical angle of attack during the aborted landing indicates a decision-making error related to the environment and aircraft limitations.,Medium,42,"The pilot was attempting to land on a constrained turf runway. A witness described that the airplane approached the runway too fast, landed long, and bounced several times. The pilot subsequently aborted the landing with limited runway remaining. The witness described that the airplane “staggered into the air” at a high pitch angle with the wings rocking left and right. The pilot described that the airplane’s nose “dropped” before it impacted the ground. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation. Based on this information, it is likely that the pilot exceeded the airplane’s critical angle of attack during the aborted landing and subsequent initial climb, which resulted in an aerodynamic stall and impact with terrain."
AE100 only,,"The pilot's observation of a deer indicates a potential distraction or an unsafe act related to visual scanning, which aligns with AE100.",Medium,43,"Just prior to touch down, the pilot saw a deer to his left. As the airplane settled, he corrected to the right to avoid the deer but over-corrected and could not straighten the airplane’s path. He added full power to attempt a go-around maneuver; however, the airplane exited the right side of the runway and collided with a drainage culvert. The airplane sustained substantial damage to the fuselage. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE200 only,PC300_Physical_Mental_Limitations,"The evidence indicates a physical mental limitation as the pilot applicant made a pitch adjustment that resulted in excessive nose pitch down, suggesting a failure in the pilot's ability to manage the aircraft's attitude.",Medium,44,"The check pilot of the multi engine airplane reported that he was conducting a familiarization flight with a pilot that his company was in the process of hiring (pilot applicant.) On final approach, at approximately 100 ft above ground level, the pilot applicant made a pitch adjustment and the airplane’s nose pitched down excessively. Both pilots pulled back on the yokes to arrest the descent, but the airplane impacted terrain short of the runway, which resulted in substantial damage to the right wing and fuselage. The check pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the wind shifted during the flight, which suggests a failure to adapt to changing environmental conditions, aligning with unsafe acts related to the physical environment.",Medium,45,"The pilot of the balloon reported that before the flight, the reported wind direction called for a favorable path with many available landing areas; however, during the flight the wind shifted and the balloon traveled over congested living areas and neighborhoods. As he was looking for a place to land the wind was light and variable. He attempted an approach to a cul-de-sac; however, spectators were parked there, preventing a landing. He aborted the approach and tried another to a corner field. That approach was also aborted due to powerlines in the vicinity. He attempted another approach to a “small area” and the balloon’s envelope caught tree limbs during the descent. After becoming briefly suspended in the tree branches about 5 to 8 feet above the ground, the branches broke and balloon basket dropped to the ground. The passenger sustained a minor injury, the pilot was not injured. Postaccident examination of the balloon revealed substantial damage to several fabric panels and two suspension cables. The pilot reported that there were no preaccident mechanical malfunctions or failures with the balloon that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that an animal (a deer) unexpectedly entered the flight path, which is a clear example of an unsafe act related to the physical environment affecting the pilot's ability to control the aircraft.",High,46,"The pilot reported that while landing, a deer ran in front of the airplane from the left side. The pilot was unable to avoid the collision, and the deer struck the left wing, which resulted in substantial damage to the left wing. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,47,"The flight instructor and the student pilot were practicing crosswind takeoffs and landings.  After completing two successful landings, the student pilot was taxiing back to the runway when the airplane drifted to the right and the right wing impacted a fuel truck parked next to the taxiway.  The impact resulted in substantial damage to the right wing. The flight instructor reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The presence of gusting wind indicates an environmental factor that could lead to unsafe acts, specifically related to the aircraft's handling and control.",Medium,48,"The pilot reported that following a cross-country flight, on the first approach to land he performed a go-around due to gusting wind and an unstable approach. During the second approach to the same runway, the pilot reported that the approach was stable, however, near the runway threshold the airplane began sinking and impacted the runway with all three wheels at once. Subsequently, the airplane immediately veered to the left off the runway despite the pilot’s attempt to apply wheel brakes and maintain directional control. During the runway excursion, the nose landing gear collapsed which resulted in substantial damage to the engine mount and fuselage. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE100 only,,"The evidence indicates a communication issue where the flight instructor announced 'I have the aircraft', which suggests a potential unsafe act related to the pilot's decision-making or situational awareness.",Medium,49,"The flight instructor and the student pilot were landing the tailwheel-equipped airplane at the destination airport. The flight instructor described that the student’s wheel landing was at the proper speed and aligned with the runway, but with a slight left drift. The student applied right rudder along with (inadvertent) right brake pressure. The flight instructor announced “I have the aircraft” but felt significant resistance on the flight controls. He repeated the call as the airplane approached the right side of the runway. As the airplane progressed toward the grass off the side of the runway, the flight instructor again verbalized that he was trying to take control of the airplane as the student pilot applied both brakes. The airplane then abruptly stopped and nosed over. The airplane’s vertical stabilizer was substantially damaged during the accident. The flight instructor reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE200 only,PC300_Physical_Mental_Limitations,The pilot's assumption about flying duration with a specific amount of fuel indicates a potential misjudgment related to physical and mental limitations.,Medium,50,"The pilot reported that he had 48 gallons of fuel on board and assumed that he would be able to fly for about 5 hours. After about 4 hours and 20 minutes of flying, the pilot began his descent for landing at his destination, turned the fuel pump on, and checked the fuel gauges. The gauges read about 3 or 4 gallons of fuel remaining in each fuel tank. Shortly thereafter, the engine quit. The pilot switched fuel tanks and the engine started again momentarily and then quit again. He landed the airplane on a gravel road about 1.5 miles northeast of the airport. After touchdown, the right wing struck a tree and separated from the fuselage resulting in substantial damage. _x000D_
The pilot reported that he believes the airplane ran out fuel, which resulted in the loss of engine power."
AE100 only,AE100,The pilot's awareness of a significant crosswind indicates a potential unsafe act related to the handling of the aircraft under adverse weather conditions.,Medium,51,"The pilot of the tailwheel-equipped airplane was attempting to land on his 1,200-ft-long private airstrip. When he flew by the windsock to check wind direction and speed, he noticed a significant crosswind was prevailing. After turning onto final approach, and after passing the point at which a go-around could be performed due to trees and terrain off the end of the runway, he noticed the wind had changed direction and was now a strong tailwind. He continued the approach and landed more than halfway down the runway, then aggressively applied the brakes to attempt to stop. The airplane subsequently nosed over and sustained substantial damage to the rudder and wings. The pilot reported that there were no preimpact mechanical malfunctions of the airplane that would have precluded normal operation."
AE200 only,,"The evidence indicates that the pilot communicated with the control tower, which suggests a potential issue with the execution of the landing procedure despite confirmation of the landing gear status.",Medium,52,"The pilot was attempting to land when the airplane bounced after touchdown and turned into the wind like a weathervane. The pilot aborted the landing, but as the airplane began to climb, it struck a taxiway light. The pilot thought he struck the left landing gear and contacted the control tower who confirmed that all three-landing gear appeared down and locked. The pilot was able to return to the airport and land without incident. Postaccident examination of the airplane revealed the left horizontal stabilizer was substantially damaged. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,53,"During a maintenance event, a mechanic was asked to evaluate damage to the airplane’s right wing. Further inspection of the right wing and its internal components revealed that the rear wing spar was cracked, and several wing skin rivets had sheared. The right wing strut and right main landing gear strut were also bent. The flight club that operated the airplane reported that 22 pilots had flown the airplane in the recent past and no pilot admitted to any significant event during landing. The substantial damage to the right wing was likely the result of a hard landing; however, due to the several flights flown with the damage, the investigation was not able to determine a specific flight during which the hard landing may have occurred."
AE100 only,AE100,The evidence indicates a change in the physical environment (tailwind) which can lead to unsafe acts related to aircraft control.,Medium,54,"The student pilot was landing on runway 18R on a solo flight and the airplane drifted to the left while between 100-200 ft above the runway. The student pilot initiated a go around. During the go around attempt, the main landing gear touched the ground; one wheel touched the runway surface, and the other wheel touched the grass adjacent to the runway. The right wing impacted the ground. The airplane departed the runway and came to rest upright. The airplane sustained substantial damage to the right wing._x000D_
The student pilot reported there were no preaccident mechanical malfunctions or failures that would have precluded normal operation. The student pilot further reported that the surface wind had shifted to a tailwind during the flight and that the wind at the time of the accident, as observed at the windsock, was from 330°."
AE100 only,PE100_Physical_Environment,"The evidence indicates that the pilot was aware of conflicting wind conditions, which could lead to unsafe acts during takeoff or landing.",Medium,55,"The pilot and pilot-rated-passenger intended to complete a personal cross-country flight with variable wind about 6 knots at the departure airport. The pilot noted the windsock nearest the airplane indicated a tailwind, but the other windsocks farther down the runway indicated a headwind or crosswind. During takeoff, the airplane became airborne faster than expected and climbed well, so the pilot made an early right turn over airport hangars. The airplane’s upper wing slats fluttered which indicated to the pilot that the airspeed was low, then they “came out hard,” which indicated the airplane was near a stall. The pilot ensured the throttle was full forward and decreased pitch attitude to maintain airspeed but felt like the airplane “was being forced down.” Unable to maintain altitude, and with no suitable forced landing area, he maneuvered the airplane to collide with the side of a hangar and the ground, then it nosed over. The airplane sustained substantial damage to the wings, fuselage, and empennage. The pilot reported that there were no preaccident mechanical malfunctions or failures that would have precluded normal operation. _x000D_
Airport surveillance video showed the airplane at low altitude and appeared to climb until it overflew airport hangars. The airplane maintained a climb pitch attitude as it descended into the hangars."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,56,"The flight instructor of the tailwheel-equipped airplane reported that, while demonstrating a wheel landing during an instructional flight with a student in the rear seat, the nose swerved to the right upon lowering the tailwheel. The pilot corrected with left rudder input, but the airplane ground looped to the right, resulting in substantial damage to the left wing. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE100 only,PE100_Physical_Environment,The pilot's action of erecting barbed wire fences on both sides of the airstrip indicates a physical environment issue that could lead to unsafe acts.,Medium,57,"The pilot stated that he had erected barbed wire fences on both sides of his private airstrip to keep cows off the runway. During takeoff, he veered left and struck the fence. The airplane nosed over, resulting in substantial damage to the wings and empennage. The pilot reported that there were no preimpact mechanical malfunctions of the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the pilot was landing in wind conditions, which may have contributed to unsafe acts during the landing phase.",Medium,58,"The pilot of the balloon reported that during a landing, with wind about 8 knots, she used her smart vent system to land. The balloon landed hard, which resulted in one passenger breaking her ankle. The pilot reported that there were no mechanical malfunctions or failures that would have precluded normal operation."
AE100 only,AE100,The presence of a 90-degree crosswind indicates a potential unsafe act related to the pilot's handling of the aircraft in adverse weather conditions.,Medium,59,"The pilot was returning to his home airport, and prior to landing, he received an automated weather briefing noting a 90-degree crosswind that was from 320 degrees at 12 knots, with gusts. The runway in use was runway 05, and a preceding aircraft reported a direct crosswind. The initial approach and landing were uneventful. When the airplane touched down and all three wheels were on the ground, an unexpected gust of wind lifted the left wing and started pushing the airplane towards the right. The airplane exited the runway into the grass. The wind then lifted the tail of the airplane and it nosed over onto the vertical stabilizer. The fuselage and empennage of the airplane were substantially damaged. The pilot reported that there were no mechanical malfunctions or failures with the airplane, that would have precluded normal operation."
AE200 only,PE200_Tools_Technology,"The evidence indicates that the Cleveland brakes provided more braking power than the originally installed brakes, which suggests a potential unsafe act related to the use of technology.",Medium,60,"The pilot reported that preceding the accident he had performed four uneventful touch and go landings for practice. During the fifth and final landing to a full stop, the airplane veered left of runway centerline. The pilot attempted to correct by applying rudder and brakes and reported that he “went too far” with braking application. The airplane nosed over, which resulted in substantial damage to the vertical stabilizer and rudder. _x000D_
A postaccident examination of the airplane revealed no mechanical anomalies with the flight controls or brakes. _x000D_
The Fairchild 24 is a vintage aircraft. The previous owner was given field approval for installation of a Cleveland wheel and brake kit #199-64, commonly used for higher weight Cessna 310 airplanes. The Cleveland brakes provided more braking power than the originally installed brakes, which likely contributed to the pilot’s excessive braking."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,61,"The pilot of the helicopter reported that he and his flight instructor were performing a full touchdown autorotation onto the taxiway. Shortly after the helicopter touched down, during its ground slide, it veered to the left and exited the taxiway. The helicopter then pivoted on its left skid toe, rolled over its right skid, and came to rest on its right side. The horizontal stabilizer was substantially damaged. The pilot reported that there were no preaccident mechanical malfunctions or failures that would have precluded normal operation."
AE100 only,AE100,The presence of wind conditions indicates a potential unsafe act related to the physical environment affecting the pilot's performance.,Medium,62,"The pilot of the tailwheel-equipped airplane reported that he was returning to his home airport after a local flight and the reported wind was from 300° at 9 knots with gusts to 13 knots. He performed a low approach to runway 3 with a direct crosswind. He remained in the traffic pattern for another approach to runway 3. After an uneventful touchdown and initial rollout, with the throttle at idle, the airplane began to veer to the left. He countered with right rudder and was able to maintain his track throughout most of the landing roll. Near the end of the rollout, while still on the paved surface, the airplane veered left more abruptly, and the right wingtip touched the runway. The airplane then departed the runway to the left and nosed over into the grass. The pilot egressed the airplane without injury. An examination of the wreckage by a Federal Aviation Administration inspector revealed substantial damage to the upper wing, rudder, and vertical stabilizer. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE200 only,,"The evidence indicates a physical limitation due to the pilot's feet becoming entangled in the rudder pedals, which aligns with unsafe acts related to operational errors.",High,63,"The pilot reported that during the landing roll his feet become entangled in the rudder pedals and he inadvertently applied brake pressure. The airplane veered left and the pilot unsuccessfully attempted to regain directional control with opposite rudder and increased engine power.  Airport surveillance cameras recorded the airplane depart the runway surface, bounce, and impact a hangar, which resulted in substantial damage to both wings and the fuselage. The pilot did not return the National Transportation Safety Board 6120.1/2 form."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,64,"The pilot reported that during the landing, the airplane bounced twice, and he initiated a go-around. During the go-around, the airplane departed the runway to the left, and impacted a grass hill near the runway. The airplane came to rest upright and sustained substantial damage to the fuselage and both wings. The pilot informed local authorities there were no preimpact mechanical malfunctions or failures with the airframe or the engine that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,65,"After completing a successful landing, the pilot of the tailwheel-equipped airplane applied engine power to begin the takeoff. During the takeoff roll, the airplane began to veer right. The pilot applied left rudder to correct; however, the airplane veered left and exited the left side of the runway.  The airplane impacted the precision approach path indicators light system resulting in substantial damage to the left wing and left horizontal stabilizer.  The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
anyofthem,,"All preconditions for unsafe acts are absent, indicating that any unsafe acts could potentially occur.",Medium,66,"Shortly after landing, while taxing to the ramp to park, the solo student pilot was going to turn the airplane 180° to orient it with the parking spot. During the turn, the airplane’s left wing impacted a light pole resulting in substantial damage to wing spar. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE100 only,AE100,The pilot and passenger's failure to see the unmarked powerlines despite the passenger's communication indicates an unsafe act related to visual scanning and situational awareness.,Medium,67,"After takeoff the airline transport pilot and pilot-rated passenger of the amphibious airplane performed landings at an airport and on a river, performed airwork, then proceeded west, where when near a river, both looked for wires and poles but neither saw any. The pilot landed uneventfully on the river and while on the step he initiated takeoff. Although the pilot was looking and did not see any wires or poles associated with wires that spanned the river, the pilot-rated passenger spotted unmarked powerlines spanning the river immediately before impact with them during the initial climb and called them out to the pilot. The airplane collided with the wire(s), and the airplane pitched down and impacted the river resulting in substantial damage to the right wing, right wing lift strut, and aft empennage. The pilot stated there were no preimpact failures or malfunctions of the airplane that would have precluded normal operation of the airplane."
AE100 only,AE100,The presence of variable wind conditions indicates a potential unsafe act related to the pilot's handling of the aircraft in those conditions.,Medium,68,"The pilot reported that upon arrival at the destination airport the reported wind conditions were variable wind at 10 knots gusting to 12 knots. The pilot reported that he performed a 3-point landing; on touch down, he was not able to maintain center line due to gusty southern crosswinds and the airplane ground looped. The airplane sustained substantial damage to the fuselage._x000D_
The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,PE100_Physical_Environment,"The evidence indicates that the pilot was attempting to take off in a right crosswind, which directly relates to the unsafe act of not adequately managing the aircraft's response to environmental conditions.",High,69,"The pilot was attempting to take off in a right crosswind and had the right aileron fully deflected during the takeoff roll. As the tail-wheel equipped airplane became airborne, a wind gust pushed the airplane to the left side of the runway toward a tree line. The pilot attempted to turn the airplane back into the wind, but the lower left wing contacted a tree limb. The airplane descended into trees resulting in substantial damage to the rudder and both lower wings. The pilot reported there were no mechanical failures or malfunctions of the airplane that would have precluded normal operation."
AE100 only,,"The presence of a right crosswind indicates a physical environmental factor that could lead to unsafe acts, specifically related to pilot handling of the aircraft under challenging conditions.",Medium,70,"The solo student pilot reported that during a landing attempt he experienced a right crosswind and used rudder and aileron control inputs to remain on the runway centerline. During the roundout the airplane bounced and began to veer left of the runway centerline. He applied brakes and attempted to return the airplane to the center of the runway, but the airplane departed the left runway edge and impacted a taxiway sign. The airplane sustained substantial damage to the left wing. _x000D_
The student pilot reported no preimpact mechanical malfunctions or anomalies that could have precluded normal operation."
AE100 only,PC300_Physical_Mental_Limitations,The evidence indicates a physical mental limitation affecting the student pilot's ability to maintain runway centerline during takeoff.,High,71,"The solo student pilot of the airplane reported that shortly after rotation, the airplane began to drift to the left of runway centerline. He tried/attempted to correct back to runway centerline, but the airplane continued to drift left. The airplane descended and landed hard. It bounced back into the air and impacted the windsock. The airplane came to rest upright inside the windsocks segmented circle._x000D_
_x000D_
The airplane sustained substantial damage to the right wing, aft fuselage, right horizontal stabilizer, and right elevator._x000D_
_x000D_
The student pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that a wind gust affected the aircraft, which aligns with an unsafe act related to the physical environment.",High,72,"The pilot reported that while taking off in a tailwheel-equipped airplane, he experienced a wind gust that lifted the left wing upwards and caused the right wing to contact the runway. Subsequently, he lost directional control of the airplane, resulting in a ground loop and impact with a berm. The airplane sustained substantial damage to the right wing. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
anyofthem,,"All preconditions for unsafe acts are absent, indicating that any unsafe act could potentially occur due to lack of proper conditions.",Medium,73,"The pilot of the tailwheel equipped airplane reported that shortly after touchdown, during the landing roll, the airplane veered left, exited the runway, and ground looped. Subsequently, the right wing impacted the ground and sustained substantial damage. _x000D_
The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE200 only,,"The pilot's focus on the open cover indicates a mental distraction that led to a decrease in airspeed, which aligns with unsafe acts related to decision-making and situational awareness.",Medium,74,"The pilot performed a preflight inspection before he initiated the startup and taxi without any anomalies noted. During the initial climb after takeoff, about 100 ft above ground level over the runway, an engine compartment access cover opened. The pilot called the air traffic control tower and was cleared to land on a parallel runway. The pilot continued in the traffic pattern, but slowed the airplane in hopes that the access cover would not detach. The pilot became focused on the open cover and let the airspeed decrease, which resulted in a buffet, the left wing dropping, and the airplane “[falling] out of the sky.” The airplane subsequently impacted a taxiway and came to rest on the parallel runway, resulting in substantial damage to the fuselage and left wing. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation. He also stated that he, “…focused way too much on the open engine cover and way too little on flying the airplane… The result was classic stall/spin scenario too close to the ground.”"
AE200 only,,"The presence of a slight tailwind during the approach indicates a potential unsafe act related to the aircraft's handling, which aligns with AE200 regarding improper operation of the aircraft.",Medium,75,"The pilot reported that he was making a simulated landing approach to determine clearance requirements for a runway he was planning to put on his property. He said that during the approach, there was a slight tailwind, and he flew about 6 to 7 ft. above the ground during the approach. There was a fence that crossed the approach path. The pilot surmised that as he approached the fence and added power the airplane settled and the tail skid caught the top wire of the electric fence, which altered the airplane’s trajectory. The airplane struck a building on the property and then the ground. The airplane sustained substantial damage to the left wing and fuselage. The pilot reported that the airplane had no preimpact mechanical malfunctions or failures that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,76,"The student pilot reported, that during the landing flare, the airplane floated down the runway. He attempted to settle the airplane softly onto the runway, but the airplane bounced twice and came to rest in the dirt on the side of the runway. A post-accident examination revealed that the nose landing gear folded forward, which resulted in substantial damage to the tunnel structure. The student pilot reported that there were no mechanical malfunctions or failures that would have precluded normal operations."
AE100 only,PE100_Physical_Environment,"The evidence indicates that the airplane encountered a sudden wind gust, which is a physical environmental factor that can lead to unsafe acts.",Medium,77,"The pilot stated that he made an uneventful flight to the destination airport and configured the tailwheel-equipped airplane for landing. During the approach he noted that there was no unusual gust or crosswind, and he touched down on the main wheels just after the runway’s identification numbers. On the landing roll, the pilot reduced the power to idle, and the tailwheel settled on the runway. The airplane encountered a sudden wind gust, raising the right wing. Despite the pilot’s attempts to maintain directional control, the airplane ground-looped to the right and departed the runway surface. The airplane continued into a ditch and the left gear collapsed, resulting in the left wing contacting the ground. The pilot reported that there were no pre impact mechanical failures or malfunctions with the airframe or engine."
AE100 only,AE100,"The evidence indicates that the pilot was operating in a challenging physical environment due to wind conditions, which could lead to unsafe acts.",Medium,78,"The pilot reported that, during the third stop-and-go landing, the airplane touched down and veered to the left. The pilot attempted to correct with opposite rudder; however, the pilot encountered an unexpected wind gust, and the airplane weather vaned to the right. The airplane ground looped to the right, partially collapsing the left main landing gear, and came to rest upright. The airplane sustained substantial damage to the forward fuselage structure. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation. At the time of the accident, the pilot was landing on runway 17 with wind from 200° at 12 knots and gusting to 21 knots."
AE100 only,PE100_Physical_Environment,The presence of power lines near the landing zone indicates a physical environmental hazard that could lead to unsafe acts during landing.,High,79,"The balloon pilot reported that after a local sightseeing flight, she maneuvered and descended toward the landing zone that was an open field that had power lines nearby. After clearing the power lines, the pilot further descended and just prior to impact she “added a small amount of heat,” however, the basket bounced twice and tipped over onto its side. The pilot then completely deflated the balloon to prevent the basket from getting dragged on the ground. During the bounced landing and basket tip over, one of the passengers fell to the bottom of the basket, which resulted in a serious injury to her right leg. The pilot reported that there were no preimpact mechanical malfunctions or failures with the balloon that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,80,"The solo student pilot reported that during the second solo landing of the day she experienced a slight balloon, and once the airplane settled on the runway it was in a “partial crab to the right.” Upon touching down, she over corrected to the left and the airplane departed the runway surface into the grass.  While in the grass the airplane struck a runway sign, which resulted in substantial damage to the left wing and the left horizontal stabilizer.  The solo student pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,"PE100_Physical_Environment, PC300_Physical_Mental_Limitations",The pilot's inexperience with the tailwheel-equipped airplane and the presence of quartering gusts contributed to unsafe acts during landing.,Medium,81,"The multi-segment cross-country flight was the pilot’s first time flying the tailwheel-equipped airplane. Arriving at the destination airport, the pilot noted quartering gusts when he cleared a tree line to land on the asphalt runway. Following touchdown, the airplane pulled to the right and he applied left brake to correct; however, the airplane nosed over. The airplane sustained substantial damage to the wings, empennage, and fuselage. Postaccident examination of the brakes revealed no evidence of any preaccident mechanical failures or malfunctions that would have precluded normal operation. The recorded wind at the nearest weather reporting facility, about 13 miles southwest of the accident airport, was a quartering right crosswind at 12 knots, gusting to 19 knots at the time of the accident."
AE200 only,,"The evidence indicates that the pilot's actions, specifically climbing at too low an airspeed and the decision to release the banner, directly contributed to the loss of control, which aligns with unsafe acts related to decision-making and performance.",High,82,"The pilot of the banner tow airplane performed a normal takeoff and stayed in the airport traffic pattern for the banner pickup. The pilot described that after successfully capturing the pickup rope, he climbed with the engine at full power, the flaps retracted, and at a speed of about 45 to 50 mph. The airplane drifted left before the banner left the ground, and the pilot attempted to correct the flight path to the right. The airplane and banner subsequently climbed above the nearby trees, after which the pilot released the banner. The airplane then abruptly pitched up, the right wing “dropped,” and the airplane entered a 180-degree spin to the right that continued to ground impact. The pilot was seriously injured and the airplane was substantially damaged during the impact with trees and terrain._x000D_
The operator reported, and a post accident examination by a Federal Aviation Administration inspector confirmed, that there were no preimpact mechanical malfunctions or failures of the airplane and its flight controls that would have precluded normal operation. The operator also reported that it was their company’s standard procedure to climb the airplane at a speed of 55 mph with the flaps extended 10 degrees in order to achieve best climb out. Additionally, when releasing a banner, the prescribed procedure included pushing forward on the control yoke to prevent an abrupt pitch up. Based on this information, it is likely that the pilot climbed at too low an airspeed during the banner pickup, resulting in a loss of control, his decision to release the banner, and the uncorrected pitch up of the airplane that ultimately resulted in the aerodynamic stall/spin."
AE100 only,PE100_Physical_Environment,The presence of two deer standing in the center of the runway constitutes a physical environmental hazard that directly contributes to unsafe acts.,High,83,"The flight instructor and student pilot completed several night landings without anomaly. Then, during the next takeoff, the student pilot applied engine power and the airplane accelerated down the runway. Just after reaching 50 knots, they noticed two deer standing in the center of the runway and called to abort the takeoff. They reduced the engine power and applied the brakes, but they were unable to stop before striking one of the deer with the left wing, which resulted in substantial damaged to the wing. The flight instructor reported no preimpact mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,84,"The pilot reported that he performed a landing using 30° flap setting for practice and the airplane bounced. He decided to perform a go-around because he wanted to perform a better landing. He applied full engine power and the airplane pitched up and entered a left bank that the pilot was not able to correct. The airplane continued in the left bank until striking trees on the left side of the runway. The airplane received substantial damage to the fuselage, right wing and empennage. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE200 only,AE200,"The evidence indicates that the pilot was attempting to manage fuel inadequately, which aligns with poor decision-making related to fuel management.",High,85,"The pilot reported that he had completed a charter flight and departed to pick up new passengers at an airport about 200 nautical miles away. While on approach to the destination airport, the previous passengers notified the pilot that they were ready to be picked up, so the pilot did not land and turned the airplane back toward the departure airport. The pilot climbed to 10,000 ft and noticed the airplane’s fuel burn was high, so he climbed to 16,000 ft. The pilot reported that “everything was routine until about a 3-mile final” to the runway, when the controller asked the pilot to slow to a final approach speed. An airplane was still on the runway, so the controller told the pilot to go around. The pilot told controllers twice that he had minimum fuel available. _x000D_
The pilot continued on a visual approach for the same runway when the right engine lost power followed by the left engine. He feathered both propellers and made a forced landing to a wooded area. The airplane sustained substantial damage to the fuselage, both wings, and the empennage. The pilot reported that there were no preimpact mechanical malfunctions or failures that would have precluded normal operation. The pilot later stated that he was “trying to do too much with too little” fuel and the accident was a result of poor fuel management. Although the controller directed the pilot to go around, the pilot should have recognized the criticality of the minimum fuel situation and landed the airplane."
AE200 only,"PC100_Mental_States, PP100_Communication_Coordination_Planning",The evidence indicates a mental state issue ('a little behind on the aircraft') and a communication issue with air traffic control ('instructed by air traffic control to descend through class B airspace'). This suggests an unsafe act related to decision-making and coordination.,Medium,86,"The private pilot and passenger proceeded on the cross-country nigh flight and on arrival near the destination airport the pilot stated that he was instructed by air traffic control to descend through class B airspace on a straight-in approach to the runway, which required him to descend at a rate of about 1,000 ft-per-minute. While flying the straight-in approach he indicated that he was, “a little behind on the aircraft as we descended.” With the lights and the runway in sight he descended too quickly on final approach and impacted airport approach lighting then the ground short of the runway, resulting in substantial damage to the right wing. The pilot stated that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE200 only,"PE200_Tools_Technology, PC300_Physical_Mental_Limitations",The pilot's inability to reach the rudder pedals due to the seat sliding aft indicates a failure related to tools/technology and physical limitations.,High,87,"The pilot reported that during the takeoff roll, his seat slid aft on the seat rails, and he could not reach the rudder pedals. He reduced engine power and stretched to reach the brakes, however, he no longer had forward visibility. The airplane drifted to the right, and then to the left of the runway. The pilot braked hard, and the airplane nosed over. He later realized that the seat position peg had not been fully seated in the seat rail detent, and that the rear seat rail cotter pin was not installed. Both wings, the vertical stabilizer, and the rudder were substantially damaged. The pilot reported that there were no preaccident mechanical malfunctions or failures that would have precluded normal operation."
